Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, supply voltage, supply current, temperature
4.1313363242243675,0.045328584538933785,0.8981146023845623,4.059707943809748,6.384675072142344e-06,2022-03-03-11-43-19,1379.5718502998352,4.2,0.973,22.63
4.1313363242243675,0.05025717763839495,0.8967823787049238,4.059848339378846,6.375678224855901e-06,2022-03-03-11-43-22,1382.9156482219696,4.2,0.971,22.73
4.131664906551003,0.046150016721807186,0.8938828330478398,4.059988992416044,6.366712143969061e-06,2022-03-03-11-43-25,1386.1694555282593,4.2,0.969,22.54
4.131500615387497,0.0487785997079895,0.8910616534899771,4.060129893679606,6.357785504978629e-06,2022-03-03-11-43-28,1389.4987523555756,4.2,0.966,22.63
4.131664906551003,0.045657157412065795,0.8882796569820287,4.060269794837772,6.34889512061014e-06,2022-03-03-11-43-32,1392.7841629981995,4.2,0.964,22.73
4.132322071208767,0.04598573028522092,0.885967857067428,4.060409485801967,6.340034928387696e-06,2022-03-03-11-43-35,1396.0865831375122,4.2,0.962,22.63
4.132322071208767,0.04762859465134742,0.8834209588562861,4.060549425666739,6.331198955500913e-06,2022-03-03-11-43-39,1399.5544650554657,4.2,0.959,22.63
4.132486362374144,0.047300021778074935,0.8813442572372922,4.060688996942443,6.322378417904966e-06,2022-03-03-11-43-42,1402.6891436576843,4.2,0.957,22.73
4.1328149447060225,0.044507152356204116,0.8789736827490486,4.060827890385535,6.313602216326347e-06,2022-03-03-11-43-45,1405.7064015865326,4.2,0.955,22.93
4.132979235872522,0.04352143373711562,0.876563925211056,4.060966883565228,6.304878672655281e-06,2022-03-03-11-43-48,1408.8920118808746,4.2,0.953,22.73
4.1328149447060225,0.04302857442764699,0.8738602948026722,4.06110628454096,6.296187310340392e-06,2022-03-03-11-43-51,1412.0573420524597,4.2,0.951,22.73
4.1338006917106425,0.047464308214708206,0.8714701287887523,4.061244711733162,6.287527951662317e-06,2022-03-03-11-43-54,1415.2296297550201,4.2,0.949,22.63
4.1338006917106425,0.04286428799116854,0.8691387373501535,4.0613841591900846,6.278911803905828e-06,2022-03-03-11-43-58,1418.5491516590118,4.2,0.947,22.73
4.1328149447060225,0.04598573028522092,0.8663567408426112,4.061522770673846,6.27033856517368e-06,2022-03-03-11-44-01,1422.3846790790558,4.2,0.944,22.63
4.133472109374271,0.04598573028522092,0.8636922934840167,4.06166042129548,6.261810761113503e-06,2022-03-03-11-44-05,1425.722804069519,4.2,0.941,22.73
4.1338006917106425,0.04779288108799258,0.8619682393107508,4.061798173627287,6.253302734186222e-06,2022-03-03-11-44-08,1428.9865276813507,4.2,0.94,22.44
4.134129274048512,0.047957167524643726,0.8602637766628536,4.061935723427509,6.244820048046163e-06,2022-03-03-11-44-11,1432.2934646606445,4.2,0.937,22.83
4.13396498287939,0.04483572522927885,0.8583829902921981,4.062073526493356,6.236357008801027e-06,2022-03-03-11-44-15,1435.6287834644318,4.2,0.935,22.73
4.134129274048512,0.04549287097549691,0.856658936118917,4.062210825027532,6.227919138930898e-06,2022-03-03-11-44-18,1439.147763967514,4.2,0.933,22.63
4.134293565218009,0.04516429810237642,0.8542099955319499,4.062347618792324,6.2194952398861164e-06,2022-03-03-11-44-21,1442.3955070972443,4.2,0.93,22.73
4.134786438728746,0.04467143879273864,0.8523488006868668,4.062484370275893,6.211093617439196e-06,2022-03-03-11-44-25,1445.6560637950897,4.2,0.928,23.03
4.134786438728746,0.043357147300620506,0.8492729313100064,4.06262152804674,6.202714196515037e-06,2022-03-03-11-44-28,1448.8497622013092,4.2,0.926,22.63
4.1349507298997406,0.04434286591967526,0.8461578788840103,4.062758034157853,6.19434867363975e-06,2022-03-03-11-44-31,1452.0588347911835,4.2,0.924,22.63
4.134786438728746,0.044014293046634526,0.8431995586556902,4.062893736281416,6.186024392826184e-06,2022-03-03-11-44-34,1455.2036588191986,4.2,0.922,22.73
4.1356078945874675,0.04434286591967526,0.8410836739892005,4.06302925527104,6.177730178624167e-06,2022-03-03-11-44-38,1458.5454587936401,4.2,0.92,22.73
4.1354436034149735,0.04154999649953872,0.8388502401754016,4.06316502674653,6.169495711889556e-06,2022-03-03-11-44-41,1461.9162015914917,4.2,0.917,22.63
4.1354436034149735,0.04352143373711562,0.8367343555091686,4.063300608046972,6.161288068191836e-06,2022-03-03-11-44-44,1465.247946023941,4.2,0.915,22.63
4.1354436034149735,0.03908569995365978,0.8342266403502628,4.063435998717733,6.153099038094765e-06,2022-03-03-11-44-48,1468.652096271515,4.2,0.913,22.63
4.13626505928119,0.04072856431744634,0.8316601506166403,4.063570907161275,6.144936631897986e-06,2022-03-03-11-44-51,1472.0100219249725,4.2,0.911,22.83
4.13593647693358,0.04368572017361631,0.8296618150990496,4.06370651626509,6.136800721591364e-06,2022-03-03-11-44-54,1475.3142025470734,4.2,0.909,22.83
4.136429350455558,0.041057137190267184,0.8265075796259159,4.063840896648154,6.128699173170109e-06,2022-03-03-11-44-58,1478.677594423294,4.2,0.907,22.73
4.13593647693358,0.044507152356204116,0.8244112864846074,4.063975826373746,6.120629198897623e-06,2022-03-03-11-45-01,1482.037192106247,4.2,0.904,22.83
4.136429350455558,0.04417857948315207,0.8222366272444264,4.064109830659737,6.112608577275319e-06,2022-03-03-11-45-04,1485.3379454612732,4.2,0.903,22.73
4.136100768107197,0.04302857442764699,0.8203558408753499,4.064243347287281,6.104618219249098e-06,2022-03-03-11-45-08,1488.6061577796936,4.2,0.9,22.93
4.137250806333016,0.04187856937241344,0.818514237555583,4.064376399446434,6.096668459978932e-06,2022-03-03-11-45-11,1492.0140390396118,4.2,0.898,22.83
