Vbattery, sensor current, sma current, sma Vbattery, timestamp, time, electronic load voltage, electronic load current, temperature
3.8752068467285232,-0.13932937003048568,-1.383435993615937,3.876939365781755,2022-02-23-13-29-56,9575.486605405807,3.810708,1.300222,18.28
3.875042556131315,-0.14064366154651192,-1.3836123173412145,3.876884602248273,2022-02-23-13-29-57,9575.922934055328,3.810634,1.300278,18.28
3.8753711373260824,-0.14047937510697023,-1.3838278241164543,3.87682320071053,2022-02-23-13-29-57,9576.343074083328,3.810575,1.30019,18.28
3.875535427923993,-0.1375222191970879,-1.3835731342911421,3.8767584801706736,2022-02-23-13-29-58,9576.7631483078,3.810486,1.300262,18.28
3.8748782655344582,-0.14031508866743952,-1.3838278241162854,3.876690440629099,2022-02-23-13-29-58,9577.165516138077,3.810427,1.300238,18.28
3.8748782655344582,-0.14064366154651192,-1.3840825139415436,3.876610784580321,2022-02-23-13-29-59,9577.570536375046,3.810383,1.300214,18.28
3.8733996501785475,-0.14179366662361353,-1.3849445410423311,3.8765361070352453,2022-02-23-13-29-59,9577.975643396378,3.810309,1.300214,18.28
3.874549684341798,-0.1378507920757902,-1.3843959783418163,3.8764780245000336,2022-02-23-13-29-59,9578.413073062897,3.810264,1.300206,18.28
3.8752068467285232,-0.14080794798606466,-1.3848269918921876,3.8764149634613414,2022-02-23-13-30-00,9578.848287582397,3.810175,1.300254,18.28
3.8747139749379524,-0.14245081238220186,-1.3855126952686725,3.8763369669137298,2022-02-23-13-30-00,9579.283758878708,3.810131,1.300214,18.28
3.875535427923993,-0.1416293801839943,-1.3856694274689008,3.8762788843782205,2022-02-23-13-30-01,9579.704739570618,3.810072,1.300198,18.28
3.8742211031505422,-0.14277938526156309,-1.3861200325442948,3.8762125043381923,2022-02-23-13-30-01,9580.141844511032,3.810013,1.300222,18.28
3.8747139749379524,-0.1401508022279198,-1.386139624069356,3.8761494432999366,2022-02-23-13-30-02,9580.564596414566,3.809938,1.300246,18.28
