Vbattery, sensor current, sma current, sma Vbattery, error, sma error, timestamp, time, electronic load voltage, electronic load current
3.582608077774236,-0.26091155710439945,-2.825786875551898,3.6003048928908354,0.0008031938255943931,0.0008262927095721538,2022-07-06-15-00-54,12027.953004837036,3.452198,2.599958
3.5842509740167894,-0.26173299428667735,-2.8260219752787323,3.599982951565067,0.0008098317876417935,0.0008258233562996202,2022-07-06-15-00-55,12029.059712648392,3.451872,2.59995
3.5834295258929023,-0.2623901440328938,-2.8260611585665845,3.5996543722750753,0.0008164697518638314,0.000825488103356123,2022-07-06-15-00-56,12030.155209064484,3.451546,2.599982
3.5834295258929023,-0.2623901440328938,-2.826041566922654,3.5993307714597957,0.0008114912771521988,0.0008251193253467665,2022-07-06-15-00-57,12031.26339840889,3.451191,2.600022
3.582608077774236,-0.26058298223164134,-2.8261591167860085,3.599002192171903,0.0008164697497658553,0.0008248343600382829,2022-07-06-15-00-58,12032.370827674866,3.450895,2.599958
3.5821152089055417,-0.2607472696680095,-2.8260023836347035,3.5986802508514777,0.0008098317822975028,0.0008243985318570522,2022-07-06-15-01-00,12033.469689130783,3.450569,2.599918
3.581622340038727,-0.26469016814741975,-2.826570541308605,3.5983334171589187,0.0007948963569680859,0.0008237112655723382,2022-07-06-15-01-01,12034.565757751465,3.450199,2.599934
3.581622340038727,-0.2614044194137006,-2.82655094966469,3.5979981999073245,0.0007832799160040754,0.0008228228488027104,2022-07-06-15-01-02,12035.660373687744,3.449888,2.599934
3.5814580504168725,-0.26386873096316515,-2.8265901329525893,3.5976629826561584,0.0007832799155761483,0.0008220685323922233,2022-07-06-15-01-03,12036.76728963852,3.449592,2.599814
3.581293760795227,-0.26452588071052474,-2.827177882270301,3.597334403371621,0.0007766419489469451,0.0008212136407437709,2022-07-06-15-01-04,12037.867072582245,3.449237,2.599854
3.580800891931543,-0.2620615691597417,-2.8269819658309334,3.597000845613713,0.000781620422317491,0.000820526374518936,2022-07-06-15-01-05,12038.973735332489,3.448881,2.599958
