Vcell, sensor current, smooth current, timestamp, time, supply voltage, supply current, temperature
4.056091010618578,0.07966444992813711,1.2229029001809992,2022-02-08-12-27-06,801.7407560348511,4.13,1.301,19.57
4.056091010618578,0.08377161088307701,1.2235886035513739,2022-02-08-12-27-06,802.2538549900055,4.13,1.301,19.57
4.056091010618578,0.08147160074761581,1.2233926883026776,2022-02-08-12-27-07,802.7993083000183,4.13,1.301,19.57
4.055926719625704,0.0806501685568097,1.2238628848993962,2022-02-08-12-27-07,803.3306896686554,4.13,1.301,19.57
4.05641959260543,0.0829501786916356,1.2244702221699775,2022-02-08-12-27-08,803.8446412086487,4.13,1.301,19.57
4.055926719625704,0.07867873129978296,1.2242938984462752,2022-02-08-12-27-08,804.3637766838074,4.13,1.301,19.57
4.055926719625704,0.08032159568054992,1.2242938984461402,2022-02-08-12-27-09,804.9132492542267,4.13,1.301,19.57
4.056748174593752,0.08081445499495299,1.2242155323467787,2022-02-08-12-27-09,805.4378209114075,4.13,1.301,19.57
4.05641959260543,0.07950016349005606,1.223627786600672,2022-02-08-12-27-10,805.9541339874268,4.13,1.301,19.57
4.056583883599407,0.08327875156818462,1.2233339137279318,2022-02-08-12-27-11,806.4983062744141,4.13,1.301,19.57
4.056748174593752,0.08147160074761581,1.2233730967776666,2022-02-08-12-27-11,807.0461227893829,4.13,1.301,19.57
4.057241047578991,0.08377161088307701,1.2237061527002642,2022-02-08-12-27-12,807.5918123722076,4.13,1.301,19.57
4.056748174593752,0.08048588211867536,1.2237453357499435,2022-02-08-12-27-12,808.1540946960449,4.14,1.301,19.57
4.057076756583544,0.0834430380064729,1.2242743069214066,2022-02-08-12-27-13,808.6968960762024,4.14,1.301,19.57
4.056912465588463,0.08245731937688058,1.2245485882695533,2022-02-08-12-27-13,809.2586145401001,4.14,1.301,19.57
4.056748174593752,0.07572157541659937,1.2237453357505732,2022-02-08-12-27-14,809.7862272262573,4.14,1.301,19.57
4.057076756583544,0.07818587198572433,1.2238237018501124,2022-02-08-12-27-14,810.3315348625183,4.14,1.301,19.57
4.056912465588463,0.08360732444477036,1.2238432933747672,2022-02-08-12-27-15,810.8450305461884,4.14,1.301,19.57
4.057405338574806,0.0834430380064729,1.2244310391206932,2022-02-08-12-27-15,811.3631782531738,4.14,1.301,19.57
4.057733920567539,0.08327875156818462,1.2246661374191663,2022-02-08-12-27-16,811.8754913806915,4.14,1.301,19.57
4.057569629570988,0.08163588718580399,1.2247640950434497,2022-02-08-12-27-16,812.392942905426,4.14,1.301,19.57
4.057405338574806,0.0829501786916356,1.2248816441925483,2022-02-08-12-27-17,812.9361710548401,4.14,1.301,19.57
4.057898211564457,0.079828736366227,1.2250187848665892,2022-02-08-12-27-18,813.4808037281036,4.14,1.301,19.57
4.057405338574806,0.07999302280432577,1.2252538831649895,2022-02-08-12-27-18,814.0305395126343,4.14,1.301,19.57
4.058062502561743,0.0818001736240012,1.2248620526676866,2022-02-08-12-27-19,814.5925254821777,4.14,1.301,19.57
4.057733920567539,0.08015730924243339,1.225293066214292,2022-02-08-12-27-19,815.1281731128693,4.14,1.301,19.57
4.057898211564457,0.08147160074761581,1.2257044882364085,2022-02-08-12-27-20,815.6474716663361,4.14,1.301,19.57
4.058062502561743,0.08097874143310524,1.2263706000817702,2022-02-08-12-27-20,816.1658284664154,4.14,1.301,19.57
4.058062502561743,0.08262160581512314,1.2264881492307798,2022-02-08-12-27-21,816.7148087024689,4.14,1.301,19.57
4.058062502561743,0.08147160074761581,1.2263901916057054,2022-02-08-12-27-21,817.2772808074951,4.14,1.301,19.57
4.058391084557418,0.0806501685568097,1.2266056983790794,2022-02-08-12-27-22,817.8212113380432,4.14,1.301,19.57
4.058062502561743,0.0834430380064729,1.2274677254727104,2022-02-08-12-27-22,818.3681526184082,4.14,1.301,19.57
4.058226793559396,0.0827858922533748,1.2272326271744327,2022-02-08-12-27-23,818.9142365455627,4.14,1.301,19.57
4.058226793559396,0.07999302280432577,1.2271150780252649,2022-02-08-12-27-23,819.4446954727173,4.14,1.301,19.57
4.058062502561743,0.07917159061392043,1.22750690852251,2022-02-08-12-27-24,819.9762191772461,4.14,1.301,19.57
4.0587196665545635,0.08212874650042275,1.227859555970268,2022-02-08-12-27-25,820.5445716381073,4.14,1.301,19.57
4.058883957553689,0.07785729910972883,1.2271542610752515,2022-02-08-12-27-25,821.0894312858582,4.14,1.301,19.57
4.058883957553689,0.07933587705198383,1.2266448814292754,2022-02-08-12-27-26,821.6690185070038,4.14,1.301,19.57
4.058555375555807,0.08032159568054992,1.2262530509318252,2022-02-08-12-27-26,822.212494134903,4.14,1.301,19.57
4.058883957553689,0.0827858922533748,1.2267428390533734,2022-02-08-12-27-27,822.7635071277618,4.14,1.301,19.57
4.059212539553041,0.08048588211867536,1.2267624305782763,2022-02-08-12-27-27,823.3099393844604,4.14,1.301,19.57
4.0590482485531805,0.08015730924243339,1.2267232475285585,2022-02-08-12-27-28,823.8555750846863,4.14,1.301,19.57
