Vbattery, sensor current, sma current, sma Vbattery, error, sma error, timestamp, time, supply voltage, supply current
3.471055471231438,-0.0029803025254703554,0.20909566741860755,3.462777936794298,0.0003269194556101687,0.00036984824776709925,2022-07-06-11-35-08,761.1211423873901,3.52,0.501
3.471055471231438,-0.005937475982951343,0.2091936256250039,3.4629571616737342,0.00032525996609459126,0.0003694124227307288,2022-07-06-11-35-10,762.2264785766602,3.52,0.501
3.4718769186525185,-0.0021588654543166948,0.2091740339837446,3.4631430245123522,0.00033189792527679534,0.00036909393533751244,2022-07-06-11-35-11,763.3429155349731,3.52,0.501
3.47154833968348,-0.006101763397317526,0.20921321726630235,3.4633255683714856,0.0003352169047620337,0.0003688424980250244,2022-07-06-11-35-12,764.4219460487366,3.52,0.501
3.471384050199264,-0.0057731885685917,0.20897811757103973,3.463499814782796,0.00033023843641899475,0.0003685072481072961,2022-07-06-11-35-13,765.5185112953186,3.52,0.501
3.4718769186525185,-0.007580350126909552,0.20854710146295535,3.463682358642377,0.00033189792659842727,0.00036820552322905766,2022-07-06-11-35-14,766.6080946922302,3.52,0.501
3.472041208137341,-0.004951751496891407,0.20860587638677677,3.463861583523133,0.0003285789477730202,0.0003678702733041416,2022-07-06-11-35-15,767.6914885044098,3.52,0.501
3.4718769186525185,-0.0052803263255519865,0.20846873489787632,3.4640308514664833,0.000321940989859597,0.0003674344482499617,2022-07-06-11-35-16,768.8144724369049,3.52,0.501
3.4722054976223653,-0.007580350126909552,0.20772425252960078,3.4642084168579292,0.00032028150075143777,0.00036694833563570914,2022-07-06-11-35-17,769.9208469390869,3.52,0.501
3.472041208137341,-0.0054446137398920375,0.2071952782154559,3.464381003780561,0.00031862201143348004,0.00036649574805134704,2022-07-06-11-35-18,771.040421962738,3.52,0.501
3.4725340765930213,-0.0057731885685917,0.2070581367265392,3.464551931214287,0.00031696252252704947,0.00036599287290626874,2022-07-06-11-35-19,772.1185600757599,3.52,0.501
3.472698366078652,-0.006758913054847965,0.20731282806326218,3.4647278371168486,0.00031530303319896735,0.00036543971020149344,2022-07-06-11-35-21,773.1948311328888,3.52,0.501
