Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, electronic load voltage, electronic load current
3.918745097961718,-0.25992583248638695,-2.8033740349135075,3.932162121502526,0.0006604793515711499,2022-06-22-15-43-56,214.3445680141449,3.787596,2.599974
3.919237968175883,-0.2592686827414812,-2.8031389351867677,3.9318468172825893,0.0006637983424687363,2022-06-22-15-43-57,215.4648985862732,3.787374,2.60007
3.9185808078907876,-0.2576258083807381,-2.802727510665273,3.931534832056625,0.0006604793484963569,2022-06-22-15-43-58,216.59742712974548,3.787137,2.59999
3.9198951284646433,-0.2614044194137006,-2.8027666939530937,3.931246079772619,0.0006637983373226574,2022-06-22-15-43-59,217.71821212768555,3.786915,2.59991
3.918745097961718,-0.2591043953053092,-2.802903835460168,3.9309457110188877,0.0006754148070491732,2022-06-22-15-44-01,218.8250892162323,3.786723,2.60003
3.918745097961718,-0.2618972817231986,-2.8030605686114525,3.9306586182337804,0.0006621388384247893,2022-06-22-15-44-02,219.92839169502258,3.786486,2.59999
3.9194022582477293,-0.26091155710439945,-2.8034524014890407,3.9303848014156144,0.0006621388368554991,2022-06-22-15-44-03,221.04968094825745,3.786308,2.600006
3.917759357539569,-0.261568706850178,-2.803099751898132,3.930097708632916,0.0006754148013894267,2022-06-22-15-44-04,222.1560776233673,3.786116,2.59999
3.917759357539569,-0.2587758204330304,-2.803080160254259,3.9298089563541616,0.0006737553053335096,2022-06-22-15-44-05,223.26333832740784,3.785864,2.59995
3.917266487331585,-0.258282958124775,-2.802570777512921,3.929528501556839,0.0006654578239007507,2022-06-22-15-44-06,224.36468124389648,3.785701,2.600094
3.917266487331585,-0.25992583248638695,-2.8026099608006954,3.9292580037357063,0.0006555008477119911,2022-06-22-15-44-07,225.4864571094513,3.785465,2.600022
3.917266487331585,-0.2579543832527132,-2.8026687357322597,3.928994143898653,0.000648862863632724,2022-06-22-15-44-08,226.62224173545837,3.785257,2.599918
3.9171021972627154,-0.25614722145792096,-2.802198536279589,3.9287286245659545,0.0006505223592778719,2022-06-22-15-44-09,227.73993635177612,3.78505,2.599974
3.9161164568543,-0.261240131977245,-2.802198536279589,3.9284382127952022,0.000645543868869507,2022-06-22-15-44-11,228.85516548156738,3.784842,2.599974
3.9167736171256613,-0.25647579632950696,-2.8013560955922685,3.9281710339672347,0.0006355868911637657,2022-06-22-15-44-12,229.97606921195984,3.784665,2.599958
3.9166093270574778,-0.2595972576138905,-2.801042629289782,3.9279038551396397,0.0006355868907903091,2022-06-22-15-44-13,231.09417462348938,3.784428,2.599966
3.916445036989523,-0.25729723350884964,-2.8011601791528262,3.927633357320397,0.0006355868904145423,2022-06-22-15-44-14,232.19892406463623,3.784206,2.599878
3.914966426388226,-0.26058298223164134,-2.8014736454548967,3.927362859504557,0.0006355868870124466,2022-06-22-15-44-15,233.3215048313141,3.784014,2.60003
3.916445036989523,-0.2623901440328938,-2.802080986415441,3.9271122756373003,0.0006455438596664131,2022-06-22-15-44-16,234.44205951690674,3.783821,2.600046
3.916280746921797,-0.2579543832527132,-2.801512828742448,3.9268600322744107,0.0006472033553000102,2022-06-22-15-44-17,235.53393387794495,3.783628,2.600014
3.915130716454122,-0.26304729377946123,-2.801943844908482,3.926596172442151,0.0006588198246704651,2022-06-22-15-44-18,236.66909790039062,3.783436,2.599998
3.9144735561919113,-0.26304729377946123,-2.80243363600615,3.9263356316033122,0.0006555008312494471,2022-06-22-15-44-20,237.78949213027954,3.783229,2.599998
3.914309266126931,-0.2635401560896176,-2.8030409769672593,3.926071771772895,0.0006555008308831902,2022-06-22-15-44-21,238.92396926879883,3.783006,2.600086
3.9146378462571207,-0.26288300634278644,-2.8032564850504045,3.9258162094216016,0.0006538413341878565,2022-06-22-15-44-22,240.04485964775085,3.782814,2.599974
3.913980685997655,-0.25943297017767497,-2.803138935187066,3.925563966063645,0.000650522340850749,2022-06-22-15-44-23,241.1844184398651,3.782606,2.600062
3.9146378462571207,-0.25729723350884964,-2.8027862855973766,3.9253249986718983,0.0006505223394787915,2022-06-22-15-44-24,242.33515977859497,3.782399,2.599998
3.9146378462571207,-0.26091155710439945,-2.8030409769679268,3.9250843717842065,0.0006488628435345786,2022-06-22-15-44-25,243.4539453983307,3.782192,2.600118
3.913652105869294,-0.258282958124775,-2.8028254688852674,3.924835447418846,0.000657160321204776,2022-06-22-15-44-26,244.5749876499176,3.782015,2.600078
3.912994945615317,-0.26091155710439945,-2.803158526831283,3.9245898420467378,0.0006538413279517226,2022-06-22-15-44-27,245.71039748191833,3.781778,2.599974
3.912830655552394,-0.25894010786915894,-2.803040976967991,3.9243375986912463,0.000650522335739031,2022-06-22-15-44-29,246.83154153823853,3.7816,2.599982
3.9138163959333605,-0.26025440735897054,-2.802943018748484,3.924103609788951,0.0006521818296328167,2022-06-22-15-44-30,247.95308327674866,3.781422,2.600038
3.9121734953029894,-0.2591043953053092,-2.8024728192946906,3.923853025930794,0.000668776785495151,2022-06-22-15-44-31,249.0740451812744,3.781171,2.600006
3.913652105869294,-0.26386873096316515,-2.8025511858704797,3.9236223560206653,0.0006787337579979431,2022-06-22-15-44-32,250.21133160591125,3.780978,2.599998
3.9126663654897,-0.26321158121615806,-2.8029038354610116,3.9233817291370063,0.0006886907315291965,2022-06-22-15-44-33,251.32840418815613,3.780771,2.600022
3.9125020754272346,-0.2618972817231986,-2.8030997519000924,3.9231493997332296,0.0006803932516465602,2022-06-22-15-44-34,252.4457986354828,3.780578,2.600014
3.911352044996376,-0.2623901440328938,-2.803295668339252,3.922897156380907,0.000683712241098358,2022-06-22-15-44-35,253.58063411712646,3.780371,2.599942
3.9121734953029894,-0.2576258083807381,-2.802845060529935,3.9226764434490136,0.0006687767763583295,2022-06-22-15-44-36,254.71437764167786,3.780208,2.59999
3.912009205241209,-0.2592686827414812,-2.803040976968599,3.922450752029776,0.0006671172801619368,2022-06-22-15-44-38,255.85278153419495,3.779957,2.59999
3.912009205241209,-0.26288300634278644,-2.8032368934078358,3.9222234011146515,0.0006654577842734907,2022-06-22-15-44-39,256.97398233413696,3.779794,2.600006
3.9106948847551983,-0.2627187189061336,-2.803824642724688,3.9219910717144404,0.0006704362693596304,2022-06-22-15-44-40,258.0936391353607,3.779601,2.59995
3.911187754935738,-0.2551614968436804,-2.8036483179302496,3.9217587423132567,0.0006704362683872993,2022-06-22-15-44-41,259.21480560302734,3.779408,2.599998
3.9105305946954747,-0.2627187189061336,-2.8032368934070533,3.9215214344257325,0.0006754147547283767,2022-06-22-15-44-42,260.3371982574463,3.779201,2.599982
3.9106948847551983,-0.2587758204330304,-2.803197710119305,3.9212907645213986,0.0006720957626436592,2022-06-22-15-44-43,261.468248128891,3.778994,2.599974
3.9108591748151498,-0.2620615691597417,-2.8033936265584107,3.9210683920961036,0.0006671172747145904,2022-06-22-15-44-44,262.58553862571716,3.778802,2.599902
3.911352044996376,-0.258282958124775,-2.8030997519001617,3.9208509981574875,0.0006720957613936422,2022-06-22-15-44-45,263.7233030796051,3.778565,2.599942
3.909873434458867,-0.25992583248638695,-2.803236893407327,3.920618668758897,0.0006870312213684814,2022-06-22-15-44-47,264.8420855998993,3.778358,2.600022
3.910037724517677,-0.2591043953053092,-2.802707919021704,3.9203979558310063,0.0006787337417554566,2022-06-22-15-44-48,265.95935583114624,3.778194,2.60003
3.909051984168247,-0.26288300634278644,-2.8027079190217035,3.9201739239132802,0.0006820527315907277,2022-06-22-15-44-49,267.0956356525421,3.777958,2.599942
3.90938056428381,-0.2595972576138905,-2.8031781184741886,3.9199532109866206,0.0006853717226570187,2022-06-22-15-44-50,268.20208525657654,3.77778,2.599918
3.9097091444002863,-0.26321158121615806,-2.8030801602544457,3.9197457740260537,0.0006787337387152084,2022-06-22-15-44-51,269.30414843559265,3.777588,2.599934
3.908887694110808,-0.261240131977245,-2.8033152599811855,3.919515104125259,0.00067209575382939,2022-06-22-15-44-52,270.4227135181427,3.777365,2.599934
3.9083948239398625,-0.2683044917647135,-2.8044319836862623,3.9192844342254287,0.0006720957528646084,2022-06-22-15-44-53,271.5254096984863,3.777188,2.599862
3.90938056428381,-0.2581186706887333,-2.8040401508085186,3.919058742811229,0.000677074238495807,2022-06-22-15-44-54,272.6510727405548,3.776995,2.599982
3.908559113996616,-0.260418694795295,-2.8041772923157375,3.918841348877766,0.0006687767577588103,2022-06-22-15-44-56,273.77312302589417,3.776803,2.599998
3.908723404053598,-0.2651830304582374,-2.8048434082093223,3.9186239549440005,0.0006687767574557755,2022-06-22-15-44-57,274.87838077545166,3.776581,2.599958
3.9067519233848826,-0.26452588071052474,-2.8056270739657503,3.9183966040390197,0.0006787337286705968,2022-06-22-15-44-58,276.0137870311737,3.776418,2.599958
3.9083948239398625,-0.26091155710439945,-2.8055291157461903,3.9181858480891414,0.0006953286837714033,2022-06-22-15-44-59,277.1325373649597,3.776225,2.59991
3.9069162134393536,-0.261568706850178,-2.805431157526579,3.917951859200554,0.0007019666642667897,2022-06-22-15-45-00,278.25756096839905,3.776033,2.599902
3.907901953770971,-0.26173299428667735,-2.805685848897298,3.91772948678084,0.0007102641414876541,2022-06-22-15-45-01,279.3757326602936,3.775826,2.600014
3.9069162134393536,-0.26058298223164134,-2.8053919742385016,3.917503795371359,0.0007135831312543561,2022-06-22-15-45-02,280.4793095588684,3.775618,2.599998
3.90806624382704,-0.2576258083807381,-2.805196057799837,3.9172797634555065,0.0007152426248830295,2022-06-22-15-45-03,281.5960462093353,3.775426,2.599974
3.906094763169282,-0.25992583248638695,-2.805587890677115,3.9170557315434005,0.0007152426211368499,2022-06-22-15-45-04,282.71401810646057,3.775219,2.59999
3.9069162134393536,-0.2620615691597417,-2.8059993151989366,3.916836678117162,0.0007202211070048199,2022-06-22-15-45-06,283.8188257217407,3.775011,2.600022
3.9069162134393536,-0.261240131977245,-2.8058425820475685,3.91662924116151,0.000708604636419144,2022-06-22-15-45-07,284.9377794265747,3.774863,2.599958
3.9062590532228403,-0.261568706850178,-2.806038498486597,3.9164052092490924,0.0007052856436233633,2022-06-22-15-45-08,286.05871963500977,3.774656,2.599974
3.906094763169282,-0.26469016814741975,-2.806567472872713,3.9161894748159645,0.0006969881643330881,2022-06-22-15-45-09,287.1807293891907,3.774464,2.59999
3.9064233432766264,-0.2581186706887333,-2.8058621736920224,3.9159787188696087,0.0006986476595276828,2022-06-22-15-45-10,288.29730129241943,3.774271,2.600006
3.9059304731159528,-0.25992583248638695,-2.8060189068430574,3.9157663034283523,0.0007003071544287256,2022-06-22-15-45-11,289.432359457016,3.774064,2.599958
3.9065876333306404,-0.26304729377946123,-2.80594054026728,3.915568823447947,0.0006986476575098132,2022-06-22-15-45-12,290.57169008255005,3.773856,2.599942
3.9057661830628514,-0.26058298223164134,-2.8058033987599136,3.9153696839731564,0.0007003071518955734,2022-06-22-15-45-13,291.68962478637695,3.773634,2.60003
3.9052733129049164,-0.2591043953053092,-2.805431157525785,3.9151456520626104,0.0006853716890281614,2022-06-22-15-45-15,292.8105847835541,3.773442,2.599998
3.9056018930099783,-0.2607472696680095,-2.805391974237974,3.914951491075367,0.0006621387476475988,2022-06-22-15-45-16,293.9306592941284,3.77325,2.599814
3.904451862646255,-0.26091155710439945,-2.8055682990330175,3.91475069210705,0.0006687767287201712,2022-06-22-15-45-17,295.0535809993744,3.773057,2.600046
3.9039589924937954,-0.25943297017767497,-2.8054507491696787,3.9145449146523443,0.000673755215108654,2022-06-22-15-45-18,296.1906189918518,3.772865,2.599934
3.905109022852728,-0.2614044194137006,-2.805627073964793,3.91433747769987,0.0006720957173400689,2022-06-22-15-45-19,297.30730390548706,3.772642,2.599998
3.904451862646255,-0.26452588071052474,-2.8061364567069447,3.914126721757037,0.0006754147076995716,2022-06-22-15-45-20,298.43113589286804,3.772435,2.599982
3.904780442749035,-0.26222585659630676,-2.806587064516561,3.9139309012754016,0.0006671172283755142,2022-06-22-15-45-21,299.57895851135254,3.772228,2.600046
3.904287572595207,-0.2618972817231986,-2.807174813833022,3.913731761803107,0.000670436219035477,2022-06-22-15-45-22,300.6848864555359,3.772035,2.600046
3.903137542244257,-0.2586115329969235,-2.8071552221891527,3.9135276438455664,0.0006754147042806858,2022-06-22-15-45-24,301.8221626281738,3.771828,2.600006
3.9034661223433886,-0.2592686827414812,-2.806626247803459,3.9133135689129968,0.0006654577292515509,2022-06-22-15-45-25,302.9550290107727,3.771635,2.600038
3.9034661223433886,-0.26173299428667735,-2.8070572639690345,3.913116088937816,0.0006488627718628955,2022-06-22-15-45-26,304.0711159706116,3.771428,2.599854
3.9023160920004205,-0.25992583248638695,-2.806724206022532,3.9129020140073316,0.0006555007527814048,2022-06-22-15-45-27,305.20505356788635,3.771251,2.599982
3.9033018322937085,-0.26009011992266784,-2.8069005308174573,3.9127028745367,0.0006604792382485998,2022-06-22-15-45-28,306.32728910446167,3.771073,2.59995
3.901330351715339,-0.2648544555843369,-2.8072531804084604,3.9124821616251033,0.0006787336877562182,2022-06-22-15-45-29,307.4482789039612,3.770851,2.599934
3.902644672097271,-0.26009011992266784,-2.807449096847254,3.912284681651296,0.0006820526768741419,2022-06-22-15-45-30,308.5675935745239,3.770658,2.599966
3.902151801952337,-0.260418694795295,-2.8071160389006176,3.9120822231911765,0.0006870311631866091,2022-06-22-15-45-31,309.68694519996643,3.770466,2.600022
3.902151801952337,-0.2618972817231986,-2.807527463422386,3.9118681482609907,0.0006754146931199075,2022-06-22-15-45-33,310.792738199234,3.770244,2.600054
3.902151801952337,-0.25976154505012783,-2.8072531804077103,3.911665689800871,0.0006637982230532061,2022-06-22-15-45-34,311.9138114452362,3.770022,2.59999
3.9010017716221355,-0.26222585659630676,-2.8076646049295872,3.9114549338641966,0.0006720956996082462,2022-06-22-15-45-35,313.0373270511627,3.769844,2.599934
3.9023160920004205,-0.2637044435263804,-2.808271945890777,3.9112591133866492,0.0006837121673153402,2022-06-22-15-45-36,314.1551148891449,3.769637,2.599998
3.901987511904481,-0.25894010786915894,-2.808232762603024,3.911063292909647,0.00068371216677051,2022-06-22-15-45-37,315.2606360912323,3.769429,2.60015
3.900508901484039,-0.2620615691597417,-2.808526637261586,3.9108558559652553,0.0006953286341592057,2022-06-22-15-45-38,316.3810279369354,3.769237,2.599974
3.9010017716221355,-0.2620615691597417,-2.808546228905508,3.910650078515704,0.0006969881289989551,2022-06-22-15-45-39,317.49602341651917,3.769045,2.59999
3.900673191529844,-0.2627187189061336,-2.808565820549441,3.9104492795538133,0.0006920096413384213,2022-06-22-15-45-40,318.6124053001404,3.768852,2.600054
3.899687451258436,-0.264033018399972,-2.8090556116475014,3.9102418426108643,0.0006986476223963747,2022-06-22-15-45-42,319.74924206733704,3.768659,2.600086
3.900673191529844,-0.2587758204330304,-2.80895765342811,3.910047681631725,0.0007052856034635865,2022-06-22-15-45-43,320.8703258037567,3.768452,2.600086
3.9008374815758753,-0.2581186706887333,-2.809114386578917,3.9098568396436826,0.000705285603195886,2022-06-22-15-45-44,322.00271701812744,3.76823,2.60011
3.900344611438463,-0.25729723350884964,-2.8090752032912154,3.909657700178037,0.0007069450980657528,2022-06-22-15-45-45,323.122740983963,3.768053,2.600054
3.9000160313479943,-0.2586115329969235,-2.8085854121936777,3.909468517686989,0.0006969881234675908,2022-06-22-15-45-46,324.24234223365784,3.767845,2.600086
3.8991945811258084,-0.2623901440328938,-2.808879286852318,3.9092710377189497,0.0007052856004593679,2022-06-22-15-45-47,325.37624073028564,3.767608,2.600102
3.899851741303101,-0.26255443146950275,-2.809271119730426,3.9090752172454875,0.0007069450950364185,2022-06-22-15-45-48,326.4960227012634,3.767431,2.600102
3.8995231612139993,-0.26025440735897054,-2.8095845860324133,3.9088827157639034,0.0007036261031576954,2022-06-22-15-45-49,327.61606001853943,3.767238,2.59995
3.898866001038529,-0.26452588071052474,-2.809956827267237,3.9086703003353573,0.0006969881193356188,2022-06-22-15-45-50,328.7382206916809,3.767046,2.59999
3.8987017109952307,-0.2591043953053092,-2.809956827267237,3.90846784188115,0.000687031144995957,2022-06-22-15-45-52,329.82911252975464,3.766824,2.59999
