Vcell1, current, time, supply voltage, supply current, temperature
4.160580157172297,0.03530711191889439,2022_02_03_11_35_32,4.2,0.699,18.58
4.160580157172297,0.03809998133563772,2022_02_03_11_35_33,4.2,0.698,18.58
4.160415865942677,0.039249986390014854,2022_02_03_11_35_34,4.2,0.696,18.58
4.160908739632667,0.03366424755676297,2022_02_03_11_35_35,4.2,0.696,18.58
4.161073030863418,0.0364571169726738,2022_02_03_11_35_36,4.2,0.695,18.58
4.160908739632667,0.03629283053640487,2022_02_03_11_35_37,4.2,0.694,18.58
4.160744448402294,0.03579997122762763,2022_02_03_11_35_39,4.2,0.694,18.58
4.161073030863418,0.03711426271779915,2022_02_03_11_35_40,4.2,0.693,18.58
4.161237322094545,0.03793569489931864,2022_02_03_11_35_41,4.2,0.692,18.58
4.160415865942677,0.036785689845226524,2022_02_03_11_35_42,4.2,0.691,18.58
4.161237322094545,0.032021383195101234,2022_02_03_11_35_43,4.2,0.69,18.58
4.160908739632667,0.03251424250355132,2022_02_03_11_35_44,4.2,0.689,18.58
4.161237322094545,0.033335674684393524,2022_02_03_11_35_45,4.2,0.688,18.58
4.160908739632667,0.03514282548265969,2022_02_03_11_35_46,4.2,0.687,18.58
4.161237322094545,0.033335674684393524,2022_02_03_11_35_48,4.2,0.686,18.58
4.161237322094545,0.034485679737769045,2022_02_03_11_35_49,4.2,0.686,18.58
4.160908739632667,0.034485679737769045,2022_02_03_11_35_50,4.2,0.685,18.58
4.161073030863418,0.034485679737769045,2022_02_03_11_35_51,4.2,0.684,18.58
4.161073030863418,0.032185669631246694,2022_02_03_11_35_52,4.2,0.683,18.58
4.161401613326049,0.034321393301558346,2022_02_03_11_35_53,4.2,0.682,18.58
4.162058778255837,0.034485679737769045,2022_02_03_11_35_54,4.2,0.681,18.58
4.161894487022824,0.03514282548265969,2022_02_03_11_35_55,4.2,0.68,18.58
4.16156590455793,0.03464996617398451,2022_02_03_11_35_57,4.2,0.679,18.58
4.161730195790189,0.0364571169726738,2022_02_03_11_35_58,4.2,0.678,18.58
4.161894487022824,0.03579997122762763,2022_02_03_11_35_59,4.2,0.678,18.58
4.162058778255837,0.034814252610204766,2022_02_03_11_36_00,4.2,0.677,18.58
4.161730195790189,0.03497853904642982,2022_02_03_11_36_01,4.2,0.677,18.58
4.162223069489227,0.03514282548265969,2022_02_03_11_36_02,4.2,0.675,18.58
4.162223069489227,0.03366424755676297,2022_02_03_11_36_03,4.2,0.675,18.58
4.162058778255837,0.02774993585687254,2022_02_03_11_36_04,4.2,0.674,18.58
4.16156590455793,0.034485679737769045,2022_02_03_11_36_06,4.2,0.672,18.58
4.161730195790189,0.033499961120575905,2022_02_03_11_36_07,4.2,0.672,18.58
4.162387360722994,0.032021383195101234,2022_02_03_11_36_08,4.2,0.671,18.58
4.162058778255837,0.0359642576638818,2022_02_03_11_36_09,4.2,0.67,18.58
4.161894487022824,0.033171388248215805,2022_02_03_11_36_10,4.2,0.669,18.58
4.162551651957138,0.03037851883389437,2022_02_03_11_36_11,4.2,0.669,18.58
4.162058778255837,0.030542805269995008,2022_02_03_11_36_12,4.2,0.669,18.58
4.162223069489227,0.0359642576638818,2022_02_03_11_36_13,4.2,0.667,18.58
4.162387360722994,0.0359642576638818,2022_02_03_11_36_15,4.2,0.667,18.58
4.161894487022824,0.03234995606739671,2022_02_03_11_36_16,4.2,0.666,18.58
4.162715943191659,0.03497853904642982,2022_02_03_11_36_17,4.2,0.665,18.58
4.162387360722994,0.031528523886692084,2022_02_03_11_36_18,4.2,0.664,18.58
4.162880234426557,0.035471398355133944,2022_02_03_11_36_19,4.2,0.663,18.58
4.162715943191659,0.030707091706100066,2022_02_03_11_36_20,4.2,0.663,18.58
4.1630445256618325,0.03464996617398451,2022_02_03_11_36_21,4.2,0.662,18.58
4.162715943191659,0.03366424755676297,2022_02_03_11_36_22,4.2,0.661,18.58
4.162387360722994,0.032021383195101234,2022_02_03_11_36_23,4.2,0.661,18.58
4.162715943191659,0.03037851883389437,2022_02_03_11_36_25,4.2,0.66,18.58
4.1630445256618325,0.031528523886692084,2022_02_03_11_36_26,4.2,0.658,18.58
4.162880234426557,0.03399282042915121,2022_02_03_11_36_27,4.2,0.657,18.58
4.1630445256618325,0.033335674684393524,2022_02_03_11_36_28,4.2,0.657,18.58
4.162715943191659,0.031364237450564734,2022_02_03_11_36_29,4.2,0.657,18.58
4.163537399369922,0.033007101812042736,2022_02_03_11_36_30,4.2,0.656,18.58
4.163208816897485,0.033171388248215805,2022_02_03_11_36_31,4.2,0.655,18.58
4.1630445256618325,0.03366424755676297,2022_02_03_11_36_32,4.2,0.655,18.58
4.162880234426557,0.030871378142209548,2022_02_03_11_36_34,4.2,0.654,18.58
4.163537399369922,0.033007101812042736,2022_02_03_11_36_35,4.2,0.653,18.58
4.163537399369922,0.033335674684393524,2022_02_03_11_36_36,4.2,0.652,18.58
4.163537399369922,0.030542805269995008,2022_02_03_11_36_37,4.2,0.651,18.58
4.162880234426557,0.030871378142209548,2022_02_03_11_36_38,4.2,0.651,18.58
4.163373108133515,0.033007101812042736,2022_02_03_11_36_39,4.2,0.65,18.58
4.1630445256618325,0.031199951014441868,2022_02_03_11_36_40,4.2,0.65,18.58
4.163208816897485,0.03004994596170628,2022_02_03_11_36_41,4.2,0.649,18.58
4.1630445256618325,0.029557086653456886,2022_02_03_11_36_42,4.2,0.648,18.58
4.163373108133515,0.027092790112785987,2022_02_03_11_36_44,4.2,0.647,18.58
4.163537399369922,0.032185669631246694,2022_02_03_11_36_45,4.2,0.647,18.58
4.163701690606706,0.03366424755676297,2022_02_03_11_36_46,4.2,0.646,18.58
4.163701690606706,0.03497853904642982,2022_02_03_11_36_47,4.2,0.645,18.58
4.163373108133515,0.030871378142209548,2022_02_03_11_36_48,4.2,0.644,18.58
4.163373108133515,0.027092790112785987,2022_02_03_11_36_49,4.2,0.644,18.58
4.163701690606706,0.028899940909184865,2022_02_03_11_36_50,4.2,0.643,18.58
4.163865981843868,0.032185669631246694,2022_02_03_11_36_51,4.2,0.642,18.58
4.163701690606706,0.028407081601025702,2022_02_03_11_36_53,4.2,0.641,18.58
4.164030273081406,0.030214232397798132,2022_02_03_11_36_54,4.2,0.641,18.58
4.163865981843868,0.03103566457832348,2022_02_03_11_36_55,4.2,0.64,18.58
4.163373108133515,0.029885659525618797,2022_02_03_11_36_56,4.2,0.639,18.58
4.164194564319322,0.028571368037074517,2022_02_03_11_36_57,4.2,0.639,18.58
4.164030273081406,0.03004994596170628,2022_02_03_11_36_58,4.2,0.638,18.58
4.163865981843868,0.032842815375874315,2022_02_03_11_36_59,4.2,0.638,18.58
4.164030273081406,0.031364237450564734,2022_02_03_11_37_00,4.2,0.637,18.58
4.164030273081406,0.030871378142209548,2022_02_03_11_37_01,4.2,0.636,18.58
4.164030273081406,0.0267642172407674,2022_02_03_11_37_03,4.2,0.635,18.58
4.164194564319322,0.030542805269995008,2022_02_03_11_37_04,4.2,0.634,18.58
4.164030273081406,0.028899940909184865,2022_02_03_11_37_05,4.2,0.634,18.58
4.164687438035334,0.032678528939710516,2022_02_03_11_37_06,4.2,0.634,18.58
4.164030273081406,0.028407081601025702,2022_02_03_11_37_07,4.2,0.632,18.58
4.164194564319322,0.03103566457832348,2022_02_03_11_37_08,4.2,0.632,18.58
4.163865981843868,0.029392800217382428,2022_02_03_11_37_09,4.2,0.631,18.58
4.164358855557615,0.032678528939710516,2022_02_03_11_37_10,4.2,0.631,18.58
4.164523146796286,0.02972137308953567,2022_02_03_11_37_11,4.2,0.63,18.58
